Pup_ID,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36
101_M_G,16.1,18.1,20.45,22.45,25.5,28.95,31.5,34.1,37.2,39.1,40.35,41.65,41.8,42.25,42.25,42.7,43.1,43.1
118_F_B,19.75,20.55,22.7,25.5,29.3,32.5,35.65,38,40.55,42,43.4,43.55,43.35,44.4,44.65,45.1,45.2,45.2
118_F_P,19.75,20.15,22.3,25.45,29.15,32.3,35.1,38,40,41.45,41.75,43.5,43.35,44.1,44.2,44.2,44.4,44.4
103_F_G,21.4,24.15,28,31.35,34.5,37.5,40.25,41.45,43.4,44.4,44.95,45.4,45.7,45.95,45.95,46.35,46.35,46.35
103_F_P,20.9,24.45,28.4,31.5,35,38,40.7,42.2,44.25,44.4,45.45,46,46.05,46.5,46.5,46.6,46.9,46.9
119_F_NC,17.95,20.65,24.2,28.1,30.5,33.55,36.75,39.7,41.65,43,44.35,45,45,45.95,46.1,46.5,46.7,46.7
119_M_NC,19.35,22.3,25.45,30.2,32.95,35.9,38.35,40.9,42.45,43.75,44.75,45.15,45.5,45.95,45.9,46,46.1,46.1
117_M_B,18.35,21.75,25.2,29.6,34.15,36.9,39.35,41,42.2,43,43.35,43.8,43.45,43.8,44,44.2,44.3,44.6
117_F_O,20.6,23.3,27.1,30.75,33,35.9,38.45,40.9,42.75,43.5,44,44.85,45.1,45.5,45.5,45.95,45.95,46
107_M_NC,16.25,19.3,22.25,24.3,27.55,30.4,33.45,36.95,39.6,40.75,42.8,43.6,44.2,44.4,45.1,45.3,45.5,45.95
115_M_O,21,24.2,27.15,30,33.35,36.45,38.5,40.55,41.8,42.85,42.7,43.55,43.95,44.1,44.1,44.1,44.3,44.4
115_M_G,19.35,23.6,26.55,29.6,33.35,36.45,39,40.8,42.45,42.7,43.4,43.9,44,44.25,44.8,44.9,45.05,45.05
