Pup_ID,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36
101_M_G,3,3.5,4.2,4.9,5.7,6.8,8.5,10.1,11.5,12.7,13.3,14.1,13.9,14.4,14.6,16.5,17,18.1
118_F_B,4.5,4.5,5.2,6.9,9.1,10.6,12.2,13.3,14.6,15,15.4,15.4,16.6,18.8,19.4,19.9,20.6,21.2
118_F_P,4.4,4.6,5.3,6.9,8.8,10,11.4,12.9,13.7,14.4,14.8,15.1,18,19,19.4,20.2,20.3,20.6
103_F_G,5.1,6.5,7.9,9.5,10.8,12,13.1,14.2,15,16.1,16.9,18.1,19,20,21.1,22,23.2,23.8
103_F_P,5.2,6.8,8.6,10.2,11.3,12.7,13.8,15.2,15.4,15.6,16,16.5,18.5,19.6,20.3,20.5,21.5,22.1
119_F_NC,4.4,5.4,7.3,8.7,9.9,11.4,12.7,13.9,15,15.8,16.5,17,17.2,19.8,20.5,21.8,22.1,23
119_M_NC,4.3,5.8,7.5,8.7,9.8,10.6,11.7,13.1,13.5,13.7,13.9,16,17.5,19.3,19.7,20.1,21.6,22.6
117_M_B,4,5.1,6.6,8.6,10,11.5,12.5,13.7,14.3,14.7,15.1,15.8,16.1,16.1,15.9,17.8,18.9,20.3
117_F_O,4.3,5.4,7,9.1,10,11.5,13,14.3,14.6,15.5,16.2,17.3,18.1,18.6,18.7,19.5,20.3,20.7
107_M_NC,3.5,3.7,4.3,5.1,6.3,7.8,8.9,10.4,11.3,12,12.7,13.1,13.4,13.6,13.1,13.3,13.7,15.9
115_M_O,4.4,5.5,6.7,8,9.3,10.4,11.5,11.7,12.6,13,13,13.6,13,15,15.3,16.1,16.6,16.9
115_M_G,4,5.1,6.2,7.6,9.1,10.4,10.9,11.3,12.2,12.7,12.4,12.7,12.3,14.8,15,15.9,16.2,16.2
